hospital_id,hospital_nome,regiao,municipio,total_leitos,latitude,longitude
HOSP111,Hospital Municipal Norte 111,Zona Norte,São Paulo,180,-23.487,-46.614
HOSP112,Hospital Municipal Sul 112,Zona Sul,São Paulo,195,-23.623,-46.631
HOSP113,Hospital Municipal Leste 113,Zona Leste,São Paulo,230,-23.552,-46.49
HOSP114,Hospital Municipal Oeste 114,Zona Oeste,São Paulo,150,-23.575,-46.729
HOSP115,Hospital Municipal Centro 115,Centro,São Paulo,255,-23.547,-46.636
HOSP116,Hospital Municipal Norte 116,Zona Norte,São Paulo,205,-23.476,-46.606
HOSP117,Hospital Municipal Sul 117,Zona Sul,São Paulo,175,-23.63,-46.649
HOSP118,Hospital Municipal Leste 118,Zona Leste,São Paulo,210,-23.558,-46.516
HOSP119,Hospital Municipal Oeste 119,Zona Oeste,São Paulo,165,-23.56,-46.711
HOSP120,Hospital Municipal Centro 120,Centro,São Paulo,240,-23.553,-46.628
HOSP121,Hospital Municipal Norte 121,Zona Norte,São Paulo,195,-23.482,-46.619
HOSP122,Hospital Municipal Sul 122,Zona Sul,São Paulo,180,-23.618,-46.657
HOSP123,Hospital Municipal Leste 123,Zona Leste,São Paulo,225,-23.565,-46.5
HOSP124,Hospital Municipal Oeste 124,Zona Oeste,São Paulo,155,-23.572,-46.721
HOSP125,Hospital Municipal Centro 125,Centro,São Paulo,250,-23.55,-46.635
HOSP126,Hospital Municipal Norte 126,Zona Norte,São Paulo,185,-23.489,-46.604
HOSP127,Hospital Municipal Sul 127,Zona Sul,São Paulo,200,-23.632,-46.637
HOSP128,Hospital Municipal Leste 128,Zona Leste,São Paulo,215,-23.549,-46.509
HOSP129,Hospital Municipal Oeste 129,Zona Oeste,São Paulo,170,-23.567,-46.73
HOSP130,Hospital Municipal Centro 130,Centro,São Paulo,260,-23.556,-46.64
HOSP131,Hospital Municipal Norte 131,Zona Norte,São Paulo,190,-23.475,-46.61
HOSP132,Hospital Municipal Sul 132,Zona Sul,São Paulo,175,-23.62,-46.651
HOSP133,Hospital Municipal Leste 133,Zona Leste,São Paulo,220,-23.556,-46.494
HOSP134,Hospital Municipal Oeste 134,Zona Oeste,São Paulo,160,-23.559,-46.716
HOSP135,Hospital Municipal Centro 135,Centro,São Paulo,245,-23.549,-46.63
HOSP136,Hospital Municipal Norte 136,Zona Norte,São Paulo,200,-23.483,-46.598
HOSP137,Hospital Municipal Sul 137,Zona Sul,São Paulo,185,-23.635,-46.642
HOSP138,Hospital Municipal Leste 138,Zona Leste,São Paulo,230,-23.561,-46.506
HOSP139,Hospital Municipal Oeste 139,Zona Oeste,São Paulo,150,-23.57,-46.727
HOSP140,Hospital Municipal Centro 140,Centro,São Paulo,255,-23.554,-46.637
HOSP141,Hospital Municipal Norte 141,Zona Norte,São Paulo,175,-23.479,-46.616
HOSP142,Hospital Municipal Sul 142,Zona Sul,São Paulo,195,-23.625,-46.634
HOSP143,Hospital Municipal Leste 143,Zona Leste,São Paulo,210,-23.547,-46.512
HOSP144,Hospital Municipal Oeste 144,Zona Oeste,São Paulo,165,-23.565,-46.735
HOSP145,Hospital Municipal Centro 145,Centro,São Paulo,240,-23.551,-46.629
HOSP146,Hospital Municipal Norte 146,Zona Norte,São Paulo,190,-23.487,-46.605
HOSP147,Hospital Municipal Sul 147,Zona Sul,São Paulo,180,-23.617,-46.648
HOSP148,Hospital Municipal Leste 148,Zona Leste,São Paulo,225,-23.554,-46.499
HOSP149,Hospital Municipal Oeste 149,Zona Oeste,São Paulo,155,-23.573,-46.72
HOSP150,Hospital Municipal Centro 150,Centro,São Paulo,250,-23.557,-46.634
HOSP151,Hospital Municipal Norte 151,Zona Norte,São Paulo,205,-23.471,-46.611
HOSP152,Hospital Municipal Sul 152,Zona Sul,São Paulo,170,-23.629,-46.64
HOSP153,Hospital Municipal Leste 153,Zona Leste,São Paulo,215,-23.55,-46.517
HOSP154,Hospital Municipal Oeste 154,Zona Oeste,São Paulo,160,-23.562,-46.708
HOSP155,Hospital Municipal Centro 155,Centro,São Paulo,245,-23.548,-46.641
HOSP156,Hospital Municipal Norte 156,Zona Norte,São Paulo,195,-23.485,-46.603
HOSP157,Hospital Municipal Sul 157,Zona Sul,São Paulo,185,-23.638,-46.653
HOSP158,Hospital Municipal Leste 158,Zona Leste,São Paulo,220,-23.558,-46.508
HOSP159,Hospital Municipal Oeste 159,Zona Oeste,São Paulo,150,-23.568,-46.726
HOSP160,Hospital Municipal Centro 160,Centro,São Paulo,260,-23.552,-46.632
HOSP161,Hospital Municipal Norte 161,Zona Norte,São Paulo,180,-23.477,-46.618
HOSP162,Hospital Municipal Sul 162,Zona Sul,São Paulo,200,-23.622,-46.646
HOSP163,Hospital Municipal Leste 163,Zona Leste,São Paulo,230,-23.563,-46.496
HOSP164,Hospital Municipal Oeste 164,Zona Oeste,São Paulo,165,-23.558,-46.713
HOSP165,Hospital Municipal Centro 165,Centro,São Paulo,250,-23.555,-46.639
HOSP166,Hospital Municipal Norte 166,Zona Norte,São Paulo,190,-23.49,-46.61
HOSP167,Hospital Municipal Sul 167,Zona Sul,São Paulo,175,-23.615,-46.635
HOSP168,Hospital Municipal Leste 168,Zona Leste,São Paulo,210,-23.551,-46.505
HOSP169,Hospital Municipal Oeste 169,Zona Oeste,São Paulo,155,-23.571,-46.73
HOSP170,Hospital Municipal Centro 170,Centro,São Paulo,245,-23.549,-46.626
HOSP171,Hospital Municipal Norte 171,Zona Norte,São Paulo,200,-23.482,-46.607
HOSP172,Hospital Municipal Sul 172,Zona Sul,São Paulo,185,-23.63,-46.651
HOSP173,Hospital Municipal Leste 173,Zona Leste,São Paulo,225,-23.557,-46.514
HOSP174,Hospital Municipal Oeste 174,Zona Oeste,São Paulo,170,-23.565,-46.718
HOSP175,Hospital Municipal Centro 175,Centro,São Paulo,255,-23.553,-46.637
HOSP176,Hospital Municipal Norte 176,Zona Norte,São Paulo,195,-23.474,-46.6
HOSP177,Hospital Municipal Sul 177,Zona Sul,São Paulo,180,-23.624,-46.642
HOSP178,Hospital Municipal Leste 178,Zona Leste,São Paulo,215,-23.56,-46.501
HOSP179,Hospital Municipal Oeste 179,Zona Oeste,São Paulo,160,-23.569,-46.724
HOSP180,Hospital Municipal Centro 180,Centro,São Paulo,240,-23.55,-46.634
HOSP181,Hospital Municipal Norte 181,Zona Norte,São Paulo,185,-23.488,-46.612
HOSP182,Hospital Municipal Sul 182,Zona Sul,São Paulo,195,-23.618,-46.65
HOSP183,Hospital Municipal Leste 183,Zona Leste,São Paulo,230,-23.553,-46.509
HOSP184,Hospital Municipal Oeste 184,Zona Oeste,São Paulo,150,-23.574,-46.716
HOSP185,Hospital Municipal Centro 185,Centro,São Paulo,250,-23.557,-46.641
HOSP186,Hospital Municipal Norte 186,Zona Norte,São Paulo,205,-23.48,-46.604
HOSP187,Hospital Municipal Sul 187,Zona Sul,São Paulo,170,-23.633,-46.638
HOSP188,Hospital Municipal Leste 188,Zona Leste,São Paulo,220,-23.548,-46.495
HOSP189,Hospital Municipal Oeste 189,Zona Oeste,São Paulo,165,-23.561,-46.728
HOSP190,Hospital Municipal Centro 190,Centro,São Paulo,260,-23.551,-46.63
HOSP191,Hospital Municipal Norte 191,Zona Norte,São Paulo,190,-23.476,-46.617
HOSP192,Hospital Municipal Sul 192,Zona Sul,São Paulo,185,-23.627,-46.653
HOSP193,Hospital Municipal Leste 193,Zona Leste,São Paulo,210,-23.562,-46.51
HOSP194,Hospital Municipal Oeste 194,Zona Oeste,São Paulo,155,-23.567,-46.72
HOSP195,Hospital Municipal Centro 195,Centro,São Paulo,245,-23.554,-46.636
HOSP196,Hospital Municipal Norte 196,Zona Norte,São Paulo,200,-23.484,-46.608
HOSP197,Hospital Municipal Sul 197,Zona Sul,São Paulo,175,-23.62,-46.645
HOSP198,Hospital Municipal Leste 198,Zona Leste,São Paulo,225,-23.555,-46.498
HOSP199,Hospital Municipal Oeste 199,Zona Oeste,São Paulo,160,-23.572,-46.731
HOSP200,Hospital Municipal Centro 200,Centro,São Paulo,250,-23.548,-46.639
HOSP201,Hospital Municipal Norte 201,Zona Norte,São Paulo,195,-23.478,-46.605
HOSP202,Hospital Municipal Sul 202,Zona Sul,São Paulo,180,-23.634,-46.65
HOSP203,Hospital Municipal Leste 203,Zona Leste,São Paulo,215,-23.55,-46.513
HOSP204,Hospital Municipal Oeste 204,Zona Oeste,São Paulo,170,-23.56,-46.721
HOSP205,Hospital Municipal Centro 205,Centro,São Paulo,255,-23.552,-46.627
HOSP206,Hospital Municipal Norte 206,Zona Norte,São Paulo,185,-23.486,-46.614
HOSP207,Hospital Municipal Sul 207,Zona Sul,São Paulo,200,-23.623,-46.64
HOSP208,Hospital Municipal Leste 208,Zona Leste,São Paulo,230,-23.559,-46.507
HOSP209,Hospital Municipal Oeste 209,Zona Oeste,São Paulo,150,-23.566,-46.715
HOSP210,Hospital Municipal Centro 210,Centro,São Paulo,240,-23.556,-46.634
HOSP211,Hospital Municipal Norte 211,Zona Norte,São Paulo,190,-23.472,-46.609
HOSP212,Hospital Municipal Sul 212,Zona Sul,São Paulo,175,-23.631,-46.655
HOSP213,Hospital Municipal Leste 213,Zona Leste,São Paulo,220,-23.553,-46.492
HOSP214,Hospital Municipal Oeste 214,Zona Oeste,São Paulo,165,-23.57,-46.728
HOSP215,Hospital Municipal Centro 215,Centro,São Paulo,250,-23.549,-46.64
HOSP216,Hospital Municipal Norte 216,Zona Norte,São Paulo,205,-23.481,-46.602
HOSP217,Hospital Municipal Sul 217,Zona Sul,São Paulo,190,-23.618,-46.648
HOSP218,Hospital Municipal Leste 218,Zona Leste,São Paulo,215,-23.558,-46.515
HOSP219,Hospital Municipal Oeste 219,Zona Oeste,São Paulo,155,-23.564,-46.719
HOSP220,Hospital Municipal Centro 220,Centro,São Paulo,260,-23.554,-46.631
HOSP221,Hospital Municipal Norte 221,Zona Norte,São Paulo,180,-23.489,-46.607
HOSP222,Hospital Municipal Sul 222,Zona Sul,São Paulo,185,-23.626,-46.634
HOSP223,Hospital Municipal Leste 223,Zona Leste,São Paulo,225,-23.551,-46.503
HOSP224,Hospital Municipal Oeste 224,Zona Oeste,São Paulo,160,-23.575,-46.725
HOSP225,Hospital Municipal Centro 225,Centro,São Paulo,245,-23.55,-46.637
HOSP226,Hospital Municipal Norte 226,Zona Norte,São Paulo,200,-23.475,-46.612
HOSP227,Hospital Municipal Sul 227,Zona Sul,São Paulo,170,-23.637,-46.65
HOSP228,Hospital Municipal Leste 228,Zona Leste,São Paulo,210,-23.564,-46.497
HOSP229,Hospital Municipal Oeste 229,Zona Oeste,São Paulo,150,-23.558,-46.733
HOSP230,Hospital Municipal Centro 230,Centro,São Paulo,255,-23.555,-46.629
HOSP231,Hospital Municipal Norte 231,Zona Norte,São Paulo,195,-23.482,-46.619
HOSP232,Hospital Municipal Sul 232,Zona Sul,São Paulo,180,-23.622,-46.643
HOSP233,Hospital Municipal Leste 233,Zona Leste,São Paulo,220,-23.556,-46.509
HOSP234,Hospital Municipal Oeste 234,Zona Oeste,São Paulo,165,-23.568,-46.717
HOSP235,Hospital Municipal Centro 235,Centro,São Paulo,250,-23.551,-46.635
HOSP236,Hospital Municipal Norte 236,Zona Norte,São Paulo,185,-23.477,-46.604
HOSP237,Hospital Municipal Sul 237,Zona Sul,São Paulo,195,-23.63,-46.651
HOSP238,Hospital Municipal Leste 238,Zona Leste,São Paulo,230,-23.55,-46.495
HOSP239,Hospital Municipal Oeste 239,Zona Oeste,São Paulo,155,-23.572,-46.723
HOSP240,Hospital Municipal Centro 240,Centro,São Paulo,260,-23.557,-46.64
HOSP241,Hospital Municipal Norte 241,Zona Norte,São Paulo,190,-23.485,-46.61
HOSP242,Hospital Municipal Sul 242,Zona Sul,São Paulo,175,-23.617,-46.655
HOSP243,Hospital Municipal Leste 243,Zona Leste,São Paulo,215,-23.562,-46.505
HOSP244,Hospital Municipal Oeste 244,Zona Oeste,São Paulo,160,-23.561,-46.718
HOSP245,Hospital Municipal Centro 245,Centro,São Paulo,245,-23.552,-46.632
HOSP246,Hospital Municipal Norte 246,Zona Norte,São Paulo,200,-23.479,-46.601
HOSP247,Hospital Municipal Sul 247,Zona Sul,São Paulo,185,-23.628,-46.642
HOSP248,Hospital Municipal Leste 248,Zona Leste,São Paulo,225,-23.557,-46.512
HOSP249,Hospital Municipal Oeste 249,Zona Oeste,São Paulo,150,-23.567,-46.73
HOSP250,Hospital Municipal Centro 250,Centro,São Paulo,250,-23.549,-46.638
HOSP251,Hospital Municipal Norte 251,Zona Norte,São Paulo,195,-23.474,-46.616
HOSP252,Hospital Municipal Sul 252,Zona Sul,São Paulo,170,-23.633,-46.649
HOSP253,Hospital Municipal Leste 253,Zona Leste,São Paulo,210,-23.55,-46.501
HOSP254,Hospital Municipal Oeste 254,Zona Oeste,São Paulo,165,-23.573,-46.725
HOSP255,Hospital Municipal Centro 255,Centro,São Paulo,255,-23.555,-46.636
HOSP256,Hospital Municipal Norte 256,Zona Norte,São Paulo,180,-23.487,-46.608
HOSP257,Hospital Municipal Sul 257,Zona Sul,São Paulo,200,-23.621,-46.635
HOSP258,Hospital Municipal Leste 258,Zona Leste,São Paulo,220,-23.559,-46.51
HOSP259,Hospital Municipal Oeste 259,Zona Oeste,São Paulo,155,-23.562,-46.719
HOSP260,Hospital Municipal Centro 260,Centro,São Paulo,240,-23.55,-46.641
HOSP261,Hospital Municipal Norte 261,Zona Norte,São Paulo,205,-23.481,-46.615
HOSP262,Hospital Municipal Sul 262,Zona Sul,São Paulo,180,-23.627,-46.648
HOSP263,Hospital Municipal Leste 263,Zona Leste,São Paulo,230,-23.553,-46.498
HOSP264,Hospital Municipal Oeste 264,Zona Oeste,São Paulo,170,-23.568,-46.727
HOSP265,Hospital Municipal Centro 265,Centro,São Paulo,250,-23.557,-46.633
HOSP266,Hospital Municipal Norte 266,Zona Norte,São Paulo,190,-23.476,-46.605
HOSP267,Hospital Municipal Sul 267,Zona Sul,São Paulo,175,-23.635,-46.652
HOSP268,Hospital Municipal Leste 268,Zona Leste,São Paulo,215,-23.561,-46.506
HOSP269,Hospital Municipal Oeste 269,Zona Oeste,São Paulo,160,-23.559,-46.715
HOSP270,Hospital Municipal Centro 270,Centro,São Paulo,260,-23.552,-46.639
HOSP271,Hospital Municipal Norte 271,Zona Norte,São Paulo,185,-23.489,-46.611
HOSP272,Hospital Municipal Sul 272,Zona Sul,São Paulo,195,-23.623,-46.645
HOSP273,Hospital Municipal Leste 273,Zona Leste,São Paulo,225,-23.548,-46.514
HOSP274,Hospital Municipal Oeste 274,Zona Oeste,São Paulo,150,-23.571,-46.721
HOSP275,Hospital Municipal Centro 275,Centro,São Paulo,245,-23.55,-46.628
HOSP276,Hospital Municipal Norte 276,Zona Norte,São Paulo,200,-23.478,-46.603
HOSP277,Hospital Municipal Sul 277,Zona Sul,São Paulo,170,-23.63,-46.638
HOSP278,Hospital Municipal Leste 278,Zona Leste,São Paulo,210,-23.555,-46.5
HOSP279,Hospital Municipal Oeste 279,Zona Oeste,São Paulo,165,-23.565,-46.731
HOSP280,Hospital Municipal Centro 280,Centro,São Paulo,255,-23.556,-46.635
HOSP281,Hospital Municipal Norte 281,Zona Norte,São Paulo,195,-23.483,-46.617
HOSP282,Hospital Municipal Sul 282,Zona Sul,São Paulo,185,-23.618,-46.65
HOSP283,Hospital Municipal Leste 283,Zona Leste,São Paulo,220,-23.56,-46.493
HOSP284,Hospital Municipal Oeste 284,Zona Oeste,São Paulo,155,-23.574,-46.718
HOSP285,Hospital Municipal Centro 285,Centro,São Paulo,250,-23.551,-46.642
HOSP286,Hospital Municipal Norte 286,Zona Norte,São Paulo,180,-23.47,-46.609
HOSP287,Hospital Municipal Sul 287,Zona Sul,São Paulo,200,-23.625,-46.655
HOSP288,Hospital Municipal Leste 288,Zona Leste,São Paulo,230,-23.552,-46.508
HOSP289,Hospital Municipal Oeste 289,Zona Oeste,São Paulo,160,-23.568,-46.724
HOSP290,Hospital Municipal Centro 290,Centro,São Paulo,240,-23.558,-46.63
HOSP291,Hospital Municipal Norte 291,Zona Norte,São Paulo,205,-23.486,-46.601
HOSP292,Hospital Municipal Sul 292,Zona Sul,São Paulo,175,-23.632,-46.647
HOSP293,Hospital Municipal Leste 293,Zona Leste,São Paulo,215,-23.558,-46.496
HOSP294,Hospital Municipal Oeste 294,Zona Oeste,São Paulo,150,-23.56,-46.729
HOSP295,Hospital Municipal Centro 295,Centro,São Paulo,255,-23.553,-46.637
HOSP296,Hospital Municipal Norte 296,Zona Norte,São Paulo,190,-23.479,-46.614
HOSP297,Hospital Municipal Sul 297,Zona Sul,São Paulo,185,-23.62,-46.64
HOSP298,Hospital Municipal Leste 298,Zona Leste,São Paulo,225,-23.564,-46.502
HOSP299,Hospital Municipal Oeste 299,Zona Oeste,São Paulo,165,-23.567,-46.716
HOSP300,Hospital Municipal Centro 300,Centro,São Paulo,250,-23.55,-46.634
